市町村,宿 泊 施 設 名,住　　　　所,電 話 番 号,登録日
鹿角市,かづの観光物産公社,鹿角市花輪字新田町11-4,0186-22-0555,4月2日
大館市,秋北航空サービス　大館営業所,大館市字御成町3-6-31,0186-42-0889,4月1日
大館市,弘南観光開発㈱大館営業所,大館市新町46,0186-43-2301,4月23日
大館市,ＪＡあきた北旅行センター,大館市比内町扇田字上中島8-15,0186-55-0842,4月1日
北秋田市,秋北航空サービス　能代鷹巣営業所,北秋田市栄字前綱76いとく鷹巣ショッピングセンター内,0186-67-8123,4月1日
北秋田市,トラベル北秋田,北秋田市住吉町9-13,0186-69-7050,4月1日
能代市,能代観光協会,能代市元町14-40,0185-88-8802,4月1日
能代市,トラベルプラザ,能代市昭南町1-6,0185-55-0655,4月1日
能代市,秋田旅行センター　能代本社,能代市中和１－１－３,0185-52-3326,4月1日
能代市,第一観光バス,能代市二ツ井町字海道上100番地1,0185-73-3200,4月1日
能代市,秋田ツーリストセンター,能代市柳町８－３,0185-52-5250,4月1日
男鹿市,男鹿市観光協会,男鹿市船川港船川新浜町1-1,0185-24-4700,4月2日
秋田市,ＪＴＢイオンモール秋田店,秋田市御所野地蔵田1-1-1　イオンモール秋田2階,018-889-8585,4月1日
秋田市,旅好クラブゆとり,秋田市広面字赤沼21-5,090-5180-0245,4月1日
秋田市,トラベル四季,秋田市高陽青柳町1-46,018-883-1005,4月1日
秋田市,東武トップツアーズ　秋田支店,秋田市山王2-1-40田口ビル1F,018-866-0109,4月1日
秋田市,日本旅行東北秋田支店,秋田市山王2-1-54　三交ビル3階,018-866-0111,4月1日
秋田市,近畿日本ツーリスト東北秋田支店,秋田市山王3-1-7　東カンビル2Ｆ,018-896-4890,4月2日
秋田市,東照ジャパン,秋田市山王4-1-1　秋田県庁本庁舎Ｂ1,018-888-0845,4月1日
秋田市,東北ｉツアーズ,秋田市山王臨海町1-1　秋田魁新報社１Ｆ,018-823-6000,4月1日
秋田市,トラベルＪＩＲＯ,秋田市手形田中9-16,018-884-3663,4月1日
秋田市,タビックスジャパン　秋田支店,秋田市秋田市中通2-4-19　商工中金第一生命ビル6F,018-889-1082,4月1日
秋田市,フラワーツーリスト,秋田市新屋前野町11-6,090-2600-7082,4月1日
秋田市,秋田中央交通（株）,秋田市川元山下町６－１２,018-823-4415,4月1日
秋田市,羽後交通観光　秋田営業所,秋田市川尻大川町12-44,018-824-0346,4月1日
秋田市,ビーエス,秋田市泉菅野2-2-9,018-827-7251,4月1日
秋田市,BEST　TRAVEL,秋田市大住南3-1-16,018-893-3824,4月2日
秋田市,秋田第一旅行社,秋田市大町2-7-14,018-863-7285,4月1日
秋田市,株式会社ＪＴＢ秋田支店,秋田市大町3-4-1,018-862-6193,4月1日
秋田市,名鉄観光サービス　秋田支店,秋田市大町3-5-1　秋田大町ビル2階,018-824-3301,4月1日
秋田市,読売旅行秋田営業所,秋田市中通1-2-3　リバーサイド秋田ビル5Ｆ,018-800-0801,4月1日
秋田市,エイチ・アイ・エス　秋田アトリオン営業所,"秋田市中通2-3-8　アトリオン1階
(現在店舗休業中。電話のみの受付）",050-5576-8352,4月2日
秋田市,駅たびコンシェルジュ秋田（びゅうトラベルサービス）,秋田市中通7丁目1-2JR東日本秋田駅内,018-834-2644,4月6日
秋田市,ＪＴＢイオン秋田中央店,秋田市楢山川口境5-11イオン秋田中央店1階,018-835-8661,4月1日
秋田市,秋田県旅行業協会,秋田市八橋大畑２－１２－５３秋田県自動車会館４階,018-862-3190,4月1日
秋田市,秋田中央トランスポート,秋田市飯島字穀丁大谷地1番地6,018-853-6902,4月1日
秋田市,秋田旅行計画,秋田市保戸野すわ町9-50,018-823-2682,4月1日
由利本荘市,羽後交通観光　本荘営業所,由利本荘市肴町45,0184-22-3122,4月1日
にかほ市,ＴＤＫサービス　秋田営業所,にかほ市平沢字清水18-2,0184-35-4988,4月1日
大仙市,花火ツーリズム,大仙市神宮寺字坊ヶ沢堂ノ後8-18,080-5955-9325,5月12日
大仙市,ベストトラベル　大曲営業所,大仙市川目121-4,0187-63-1956,4月1日
大仙市,日本旅行東北大曲支店,大仙市大曲通町5-4JR大曲駅構内,0187-62-1477,4月1日
大仙市,羽後交通観光　大曲営業所,大仙市大曲通町8-2,0187-63-3456,4月1日
仙北市,羽後交通観光　角館案内所,仙北市角館町水ノ目沢48-9,0187-54-2211,4月1日
仙北市,花葉館,仙北市角館町西長野古米沢30-19,0187-55-5888,4月1日
仙北市,一社）田沢湖・角館観光協会,仙北市角館町仙北市角館町上菅沢３９４−２,0187-43-2111,4月1日
仙北市,仙北市農山村体験推進協議会,仙北市秋田県仙北市角館町中菅沢81-8,0187-43-2277,4月1日
仙北市,思い出工房,仙北市田沢湖生保内字武蔵野82-15,0187-42-8399,4月1日
横手市,羽後交通観光　横手営業所,横手市駅前町2-5,0182-32-0533,4月1日
横手市,秋田コスモトラベル,横手市十文字町仁井田東２２－１スーパーモールラッキー内,0182-23-8070,4月1日
横手市,羽後交通観光　十文字案内所,横手市十文字町西原１番町47,0182-42-2031,4月1日
横手市,トラベル横手,横手市十文字町腕越字佐吉開76-3,0182-55-2233,4月1日
横手市,羽後交通観光　本社,横手市前郷二番町7番31号,0182-32-6200,4月1日
湯沢市,羽後交通観光　湯沢営業所,湯沢市材木町二丁目2-10,0183-73-1151,4月1日
湯沢市,高勝観光,湯沢市小野東堺95-1,0183-52-2161,4月1日
