No.,店舗_名称,店舗_郵便番号,店舗_市区町村,店舗_町名番地,店舗_建物等,店舗_TEL,店舗_主業種,店舗_主業種_その他,Googleマップ,,,,
1,水晶山スキー場,018-5202,鹿角市,尾去沢字尾去山国有林,,0186-23-2424,16.スポーツ,,https://www.google.com/maps/search/?api=1&query=鹿角市尾去沢字尾去山国有林,,,,
2,史跡尾去沢鉱山,018-5202,鹿角市,尾去沢字獅子沢13-5,,0186-22-0123,13.観光施設（遊園地、動物園、温泉施設、観光農園等）,,https://www.google.com/maps/search/?api=2&query=鹿角市尾去沢字獅子沢13-5,,,,
3,道の駅かづの,018-5201,鹿角市,花輪字新田町11-4,,0186-22-0555,3.小売（お土産等）,,https://www.google.com/maps/search/?api=3&query=鹿角市花輪字新田町11-4,,,,
4,SWEET　BASIL,018-5336,鹿角市,十和田錦木字浜田63-17,,0186-35-4300,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=4&query=鹿角市十和田錦木字浜田63-17,,,,
5,和心の宿　姫の湯,018-5141,鹿角市,八幡平字湯瀬40-1,,0186-33-2011,21.その他,宿泊施設,https://www.google.com/maps/search/?api=5&query=鹿角市八幡平字湯瀬40-1,,,,
6,四季彩り秋田づくし　湯瀬ホテル,018-5141,鹿角市,字八幡平湯瀬湯端43,,0186-33-2311,21.その他,宿泊施設,https://www.google.com/maps/search/?api=6&query=鹿角市字八幡平湯瀬湯端43,,,,
7,山水亭,018-5334,鹿角市,十和田毛馬内上寄熊53-1,,0186-35-5715,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=7&query=鹿角市十和田毛馬内上寄熊53-1,,,,
8,ファミリー寿し一番星,018-5201,鹿角市,花輪字蒼前平56-5,,0186-22-1124,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=8&query=鹿角市花輪字蒼前平56-5,,,,
9,セブン-イレブン　鹿角毛馬内店,018-5334,鹿角市,十和田毛馬内字中陣場７２ー４,,0186-35-5922,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=9&query=鹿角市十和田毛馬内字中陣場７２ー４,,,,
10,薬王堂　鹿角花輪店,018-5201,鹿角市,花輪字鉄砲18番地1,,0186-22-4181,21.その他,薬局,https://www.google.com/maps/search/?api=10&query=鹿角市花輪字鉄砲18番地1,,,,
11,ハッピードラック鹿角花輪店,018-5201,鹿角市,花輪字上花輪237,,0186-25-8668,21.その他,ドラッグストア,https://www.google.com/maps/search/?api=11&query=鹿角市花輪字上花輪237,,,,
12,ハッピードラック鹿角毛馬内店,018-5334,鹿角市,十和田毛馬内字南陣場42-1,,0186-30-3399,21.その他,ドラッグストア,https://www.google.com/maps/search/?api=12&query=鹿角市十和田毛馬内字南陣場42-1,,,,
13,ワイナリーこのはなのワインショップ,018-5201,鹿角市,花輪字下花輪１７１,,0186-22-2388,3.小売（お土産等）,,https://www.google.com/maps/search/?api=13&query=鹿角市花輪字下花輪１７１,,,,
14,源泉かけ流しの宿　岡部荘　飲食,018-5421,鹿角市,十和田大湯字上の湯1-1,,0186-37-2245,21.その他,宿泊施設,https://www.google.com/maps/search/?api=14&query=鹿角市十和田大湯字上の湯1-1,,,,
15,源泉かけ流しの宿　岡部荘　売店,018-5421,鹿角市,十和田大湯字上の湯1-1,,0186-37-2245,3.小売（お土産等）,,https://www.google.com/maps/search/?api=15&query=鹿角市十和田大湯字上の湯1-1,,,,
16,Kura　Wine Oyu,018-5421,鹿角市,十和田大湯下ノ湯50,,0186-37-2050,3.小売（お土産等）,,https://www.google.com/maps/search/?api=16&query=鹿角市十和田大湯下ノ湯50,,,,
17,光栄堂,018-5201,鹿角市,花輪字下花輪27,,0186-23-2272,3.小売（お土産等）,,https://www.google.com/maps/search/?api=17&query=鹿角市花輪字下花輪27,,,,
18,ホテル鹿角,018-5421,鹿角市,十和田大湯字中谷地5-1,,0186-30-4111,21.その他,宿泊施設,https://www.google.com/maps/search/?api=18&query=鹿角市十和田大湯字中谷地5-1,,,,
19,お食事処あんべ,018-5141,鹿角市,八幡平字小山66-2,,0186-32-2317,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=19&query=鹿角市八幡平字小山66-2,,,,
20,ツルハドラッグ　鹿角中央店,018-5201,鹿角市,花輪字下中島82-1,,0186-30-1268,21.その他,薬局,https://www.google.com/maps/search/?api=20&query=鹿角市花輪字下中島82-1,,,,
21,ツルハドラッグ　毛馬内店,018-5334,鹿角市,十和田毛馬内字南陣場30-1,,0186-35-5775,21.その他,薬局,https://www.google.com/maps/search/?api=21&query=鹿角市十和田毛馬内字南陣場30-1,,,,
22,ツルハドラッグ　鹿角店,018-5201,鹿角市,花輪字下タ町202,,0186-31-0010,21.その他,薬局,https://www.google.com/maps/search/?api=22&query=鹿角市花輪字下タ町202,,,,
23,ホテル茅茹荘,018-5201,鹿角市,花輪字下中島112,,0186-23-3126,21.その他,宿泊施設,https://www.google.com/maps/search/?api=23&query=鹿角市花輪字下中島112,,,,
24,焼肉冷麺幸楽,018-5201,鹿角市,花輪堰向13,,0186-22-1611,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=24&query=鹿角市花輪堰向13,,,,
25,ホルモン幸楽花輪本店,018-5201,鹿角市,花輪堰向5,,0186-23-3736,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=25&query=鹿角市花輪堰向5,,,,
