市町村,旅 行 会 社 名,住　　　　所,電 話 番 号,登録日
鹿角市,感動鹿角パークホテル,鹿角市花輪字堰向30-1,0186-22-1189,4月28日
鹿角市,ホテルガーデンかわむら,鹿角市花輪字下花輪24,0186-22-2600,4月5日
鹿角市,お宿　ちとせ,鹿角市花輪字下中島109,0186-23-4230,4月1日
鹿角市,ホテル　茅茹荘,鹿角市花輪字下中島112,0186-23-3126,4月1日
鹿角市,Minpaku AMBO,鹿角市花輪字寺ノ後68,070-3320-8739,6月11日
鹿角市,Bar & Stay Yuzaka,鹿角市十和田大湯下ノ湯19,0186-22-4825,4月2日
鹿角市,源泉かけ流しの宿　岡部荘,鹿角市十和田大湯字上の湯1-1,0186-37-2245,4月1日
鹿角市,龍門亭　千葉旅館,鹿角市十和田大湯字上の湯1丁目38-1,0186-37-2211,4月1日
鹿角市,宿　花海館,鹿角市十和田大湯字上ノ湯34-1,0186-37-3221,4月7日
鹿角市,お宿　花彩,鹿角市十和田大湯字川原ノ湯29-1,0186-22-3374,4月1日
鹿角市,元の湯旅館,鹿角市十和田大湯字川原の湯43-1,0186-37-2031,4月5日
鹿角市,ホテル鹿角,鹿角市十和田大湯字中谷地5-1,0186-30-4111,4月1日
鹿角市,中滝ふるさと学舎,鹿角市十和田大湯字白沢45-1,0186-30-4021,4月1日
鹿角市,五の宮のゆ,鹿角市八幡平字永田1-7,0186-32-3300,4月1日
鹿角市,源泉・秘湯の宿　ふけの湯,鹿角市八幡平字熊沢外8国有林3132林班ハ小班,0186-31-2131,4月1日
鹿角市,八幡平高原ホテル,鹿角市八幡平字熊沢国有林3133林班ハ小班,0186-31-2011,4月1日
鹿角市,八幡平後生掛温泉,鹿角市八幡平字熊沢国有林内,0186-31-2221,4月2日
鹿角市,両国旅館,鹿角市八幡平字小山61-8,0186-32-2218,4月23日
鹿角市,民宿　あんべ,鹿角市八幡平字小山66-2,0186-32-2317,4月5日
鹿角市,民宿　えのぐ箱,鹿角市八幡平字切留平20-18,0186-31-2632,4月1日
鹿角市,和心の宿　姫の湯,鹿角市八幡平字湯瀬40-1,0186-33-2011,4月1日
鹿角市,六助旅館,鹿角市八幡平字湯瀬湯端37,0186-33-2324,6月8日
鹿角市,四季彩り秋田づくし　湯瀬ホテル,鹿角市八幡平字湯瀬湯端43,0186-33-2311,4月1日
小坂町,とわだこ遊月,小坂町十和田湖休平36,0176-75-2501,4月1日
小坂町,十和田湖レークビューホテル,小坂町十和田湖休平65-1,0176-75-1500,4月1日
小坂町,十和田ホテル,小坂町十和田湖字鉛山無番地,0176-75-1122,4月1日
小坂町,山乃御振舞とわだこ賑山亭,小坂町十和田湖字休平35,0176-75-2711,4月5日
小坂町,湖畔の宿　民宿和み,小坂町十和田湖字休平37,0176-75-2418,4月1日
小坂町,民宿　さくら荘,小坂町十和田湖字大川岱4,0176-75-2359,4月1日
小坂町,十和田プリンスホテル,小坂町十和田湖西湖畔,0176-75-3117,4月5日
小坂町,ホテル小坂ゴールドパレス,小坂町小坂鉱山字古館9-3,0186-29-3833,4月9日
大館市,たしろ温泉ユップラ,大館市岩瀬字上岩瀬塚の岱43-1,0186-54-2626,4月7日
大館市,いち林,大館市軽井沢字家ノ上19,0186-43-7149,4月12日
大館市,ふるさわおんせん,大館市字新綱27,0186-48-4295,4月1日
大館市,グランドパークホテル大館,大館市字長舎93-2,0186-45-1515,4月19日
大館市,大館グリーンホテル,大館市字長倉85,0186-42-2003,4月1日
大館市,千歳ホテル,大館市十二所字町頭49,0186-52-3515,4月1日
大館市,アネックスロイヤルホテル,大館市常盤木町11-11,0186-43-1111,4月19日
大館市,おおだてぽかぽか温泉ホテル,大館市清水4丁目4-34,0186-49-0003,4月2日
大館市,雪沢温泉大雪,大館市雪沢字小雪沢101,0186-50-2323,4月7日
大館市,清風荘,大館市雪沢字大滝29-9,0186-50-2030,4月2日
大館市,ホテルルートイン大館大町,大館市大町91-1,0186-43-6601,4月1日
大館市,ロイヤルホテル大館,大館市中道1丁目2-26,0186-49-4511,4月19日
