Unnamed: 0,店舗_名称,店舗_郵便番号,店舗_市区町村,店舗_町名番地,店舗_建物等,店舗_TEL,店舗_主業種,店舗_主業種_その他
1,四季美館 前田商業会売店,018-4515,北秋田市,阿仁前田字大道上3番地1,,0186-75-3570,3.小売(お土産等),
2,Hostel&Bar CAMOSIBA,019-0525,横手市,十文字町曙町7-3,,0182-23-5336,2.飲食店(酒類提供あり),
3,炭火でいろいろ焼いてくれや,010-0803,秋田市,外旭川八柳3?11?5,,018-868-4129,2.飲食店(酒類提供あり),
4,ホームセンターハッピー横手店,013-0061,横手市,横手町五ノ口86?1,,0182-33-7766,21.その他,ホームセンター
5,ホームセンターハッピー本荘店,015-0011,由利本荘市,石脇字田中12,,0184-23-3666,21.その他,ホームセンター
6,ホームセンターハッピー外旭川店,010-0802,秋田市,外旭川字三後田82,,018-868-0780,21.その他,ホームセンター
7,ホームセンターハッピー湯沢店,012-0036,湯沢市,両神100?1,,0183-72-1600,21.その他,ホームセンター
8,ローソン 比内町店,018-5701,大館市,比内町扇田字新?岡171‐1,,0186-55-0908,4.コンビニ・スーパー,
9,マックハウスイオンタウンたかのすSC,018-3302,北秋田市,中綱31-1イオンタウンたかのすSC,,0186-62-5455,21.その他,衣料品小売業
10,マックハウス大曲飯田SC,014-0067,大仙市,飯田字屋舗通イオンタウン,,0187-66-4203,21.その他,衣料品小売業
11,マックハウスSSF広面店,010-0041,秋田市,広面字宮田27-1,,018-836-4668,21.その他,衣料品小売業
12,マックハウス秋田飯島店,011-0917,秋田市,飯島道東1-1-7,,018-845-4905,21.その他,衣料品小売業
13,マックハウス大館店,017-0046,大館市,清水5-1,,0186-43-6520,21.その他,衣料品小売業
14,秋田比内地鶏や,010-0001,秋田市,中通7-1-2,,018-874-7282,2.飲食店(酒類提供あり),
15,からまつ山荘,019-2401,大仙市,協和船岡字東兵衛屋敷91番地,,018-893-2211,2.飲食店(酒類提供あり),
16,鶴の湯温泉,014-1204,仙北市,田沢湖田沢字先達沢国有林50林班ハ小班,,0187-46-2139,21.その他,宿泊施設
17,伊藤肉屋,018-0402,にかほ市,平沢字旭町50,,0184-35-3980,3.小売(お土産等),
18,お食事処遊月,018-5511,鹿角郡小坂町,十和田湖字休平36-1,,0176-75-2501,21.その他,宿泊施設
19,海と入り陽の宿帝水,010-0673,男鹿市,?賀塩浜壺ヶ沢31,,0185-37-2331,21.その他,宿泊施設
20,くつさ工芸,012-0105,湯沢市,川連町字大舘川原114-2,,0183-42-4549,21.その他,仏壇・仏具
21,男鹿真山伝承館,010-0685,男鹿市,北浦真山字水喰沢97,,0185-33-3033,19.文化施設(美術館、博物館等),
